tenantID,userID,tenant_role,cross_tenant_event_id,action_type,policy_id,policy_version,security_alert,response_action,violation_type,event_id,timestamp,hash_on_blockchain,severity_level,multi_tenant_isolation,event_status,client_address,resource_accessed,component_id
ba780850-1007-4d92-8a72-ad53d6a2a14d,69d4c497-9c43-4d1c-9469-e8c5dfde8a76,Admin,,access_file,dae3af15-63c7-49dc-9234-5b8d8dca5bdc,v2.0,True,Blocked Access,Unauthorized Access,656dc18c-7ee7-4d0b-bc34-05dec8636af8,10:28:58.802,410c5a79a12a073770a2f6578415f55c8317c0437251e4137072d4c87f047ac2,Medium,True,Failure,https://131.100.54.111:5137,AppAdmin,Security Engine
ff435a34-97de-4ba7-81aa-ac4dcc78f958,74915456-43b7-4fa3-ba27-e06fabe89273,User,,modify_settings,e4dcf0ba-08f9-439c-ba91-63a8005ec060,v5.0,False,Alerted,Privilege Escalation,d0e11157-3ee5-4f3d-896d-686772fa1d58,10:28:58.802,cc190a84f0e9ca346aa71321b11c1898416cd5c52930a2ad2c9d5b9f0afe29f7,Medium,True,Failure,https://93.140.150.23:6017,Channel Provider/2,Administration
8c162830-4d3f-4445-aad3-23d286c64558,0b914edb-2cc5-4557-ab79-56fbc9bbca88,Admin,,modify_settings,402e8449-02aa-4ded-972d-8125b4e9bcb5,v1.0,True,Allowed,Policy Violation,3223b020-bd73-4cc4-93b9-db1da38d4960,10:28:58.802,f9a9ea2a4bbd4bc316ba53cb2261b9169d1d66000a2bee3b8326b0f242b0f39a,High,True,Failure,https://88.253.47.220:8926,User Management,Security Engine
05e51344-e3a1-4de1-bae4-44796a57b875,e2312430-1714-4087-b1e3-2f5f1a31a53c,User,,login,01668a33-274f-469a-924b-7e23c520bc53,v5.0,False,Blocked Access,Policy Violation,2044b376-7676-444c-8080-35a6056e0f0e,10:28:58.802,d3d1cddec7f9b0b9b502de44bd104e040a24df5601d57c875d65ea492173626f,Medium,True,Success,https://145.152.35.72:9164,Channel Provider/2,Administration
341f346f-c61d-4366-a7fc-22a0ccce498f,06ebfcc5-d2e1-41ee-aeec-32069d6af3c3,Admin,,login,41acab69-66b9-4353-8873-7afb9d6c3196,v1.0,False,Blocked Access,Policy Violation,b6afe6d0-0d33-4815-bb07-10ed78c21677,10:28:58.802,060a52885f7dcd172ab42a48077ee5ac128f5fae71cc4f368a71d29d23833699,High,False,Success,https://94.89.229.16:5512,User Management,Configuration API
5923bc53-c733-4bf1-b86e-c39356c3681d,5f192e75-fd24-4f3c-8e07-8a5f7cd2b5fd,User,e3415ace-4ead-4ad4-b615-ddad8ff4e482,modify_settings,e7501f8d-1589-4794-b3ab-c77bc207194f,v5.0,False,Alerted,Privilege Escalation,a03a307c-9c0f-4466-a9b7-9d0e36ae389b,10:28:58.802,357e8a36f60898fd0a11d3053cfa643ed4dfab4d85cd3a26b4f2a0821d872573,Medium,False,Success,https://33.255.98.74:5639,Channel Provider/2,Configuration API
68cefb08-7e02-4e42-8c8d-0bd2456b804f,5eb36cf2-31cf-4096-aa4c-d024160edb29,Admin,6cbf2df9-a1a0-4e12-9502-043cb52972ec,login,ee0df992-531a-480c-8db8-d34185a163c2,v4.0,True,Allowed,Privilege Escalation,57fe7a84-29c3-4ef3-bc8d-d027a528aebf,10:28:58.802,cc17544b525e192559748c9574634f4f118de85def2896e0677e55920f39c282,High,False,Failure,https://22.140.46.109:5825,User Management,Configuration API
40a3874b-8a95-4226-9925-d8e2e4558c98,edfb09b7-9294-4086-bfd9-a7c80d42c6a3,Guest,,modify_settings,00151f29-3b07-4efc-9086-a2c33d6b29a9,v5.0,False,Allowed,Unauthorized Access,676b5ac5-55f8-488e-91e7-7ed1b631de30,10:28:58.802,3995b1e22e40beda34bf6339940d6f063261a3cf447b9df29fe907665af5dc88,High,False,Success,https://95.72.98.157:5512,User Management,Configuration API
a6a57749-27f9-407f-9f98-ceeda9cbeb55,fd4e297d-212c-4f00-9b2e-b78865c2d26a,User,e01298c5-6fec-43c1-adc4-3be7f393bcbf,access_file,d14b7028-4c10-4f1a-a9c6-f2279e09ab39,v4.0,True,Alerted,Unauthorized Access,bf7b6bbc-05a3-42ba-81fd-ca7cb450877e,10:28:58.802,eb6663afdb6bd90cc6e602a4d41fc71692d1cd19d13d811dd159dc713be62143,Medium,False,Success,https://175.184.184.144:9733,Channel Provider/2,Administration
248a37b4-f64e-4262-a68c-50d364e65402,ea17c338-fde5-4fd2-815d-ad37d7adba9a,Admin,72455b1b-adfa-41a3-852b-3b9617b9d01a,modify_settings,e57a0168-dd89-4229-8bb8-d236e4cd4acf,v1.0,False,Alerted,None,c976fda5-9b88-4241-88ec-1e7a3e215cee,10:28:58.802,4c714d37dcb343cebf94cb449194df2f2ce0202e777683365905fe1327f55287,Medium,True,Failure,https://21.220.210.70:7999,User Management,Configuration API
