tenantID,userID,tenant_role,action_type,policy_version,security_alert,response_action,event_id,timestamp,hash_on_blockchain,severity_level,tenant_type,type1_detail
ba780850-1007-4d92-8a72-ad53d6a2a14d,69d4c497-9c43-4d1c-9469-e8c5dfde8a76,Admin,access_file,v2.0,True,Blocked Access,656dc18c-7ee7-4d0b-bc34-05dec8636af8,10:28:58.802,410c5a79a12a073770a2f6578415f55c8317c0437251e4137072d4c87f047ac2,Medium,type2,
8c162830-4d3f-4445-aad3-23d286c64558,0b914edb-2cc5-4557-ab79-56fbc9bbca88,Admin,modify_settings,v1.0,True,Allowed,3223b020-bd73-4cc4-93b9-db1da38d4960,10:28:58.802,f9a9ea2a4bbd4bc316ba53cb2261b9169d1d66000a2bee3b8326b0f242b0f39a,High,type2,
341f346f-c61d-4366-a7fc-22a0ccce498f,06ebfcc5-d2e1-41ee-aeec-32069d6af3c3,Admin,login,v1.0,False,Blocked Access,b6afe6d0-0d33-4815-bb07-10ed78c21677,10:28:58.802,060a52885f7dcd172ab42a48077ee5ac128f5fae71cc4f368a71d29d23833699,High,type2,
68cefb08-7e02-4e42-8c8d-0bd2456b804f,5eb36cf2-31cf-4096-aa4c-d024160edb29,Admin,login,v4.0,True,Allowed,57fe7a84-29c3-4ef3-bc8d-d027a528aebf,10:28:58.802,cc17544b525e192559748c9574634f4f118de85def2896e0677e55920f39c282,High,type2,
248a37b4-f64e-4262-a68c-50d364e65402,ea17c338-fde5-4fd2-815d-ad37d7adba9a,Admin,modify_settings,v1.0,False,Alerted,c976fda5-9b88-4241-88ec-1e7a3e215cee,10:28:58.802,4c714d37dcb343cebf94cb449194df2f2ce0202e777683365905fe1327f55287,Medium,type2,
0eb7a2c5-3dbd-4b4f-bec3-2c91ed0a285a,f505e2f5-4671-4e7b-ba0d-832b741e3d68,Admin,login,v3.0,False,Allowed,582cab22-5fd4-4785-9e67-b3806a3ce574,10:28:58.802,1f86e36f9542bbf46d63f1f1b80699f7e61dc7c69a96e70328c4db5c5c99c7a0,Medium,type2,
b07f2ebe-4a22-43db-a557-2c5677d213f0,68e66cd3-4314-43cb-ab69-cd3fd38a2f36,Admin,modify_settings,v3.0,False,Allowed,d36f2472-f36b-465e-8233-551b881d4233,10:28:58.802,47a60da9cd068d8c5b660312f889aaef4f6f917e8b2b49cb1e513f9fc6fe2de4,High,type2,
208a2ef5-8f3d-4a32-a741-8804922e82fe,5f382528-bb80-4ad1-9b00-850fb8c129a2,Admin,login,v2.0,True,Alerted,c4f0bb39-7858-4447-a873-cc465467013c,10:28:58.802,b754ac8ba84a532261832de4bfa1f1cb88f49b2c769b4cf0d22851c3c5463a1f,High,type2,
04ba26b3-3255-42d9-956e-96dae0bc6093,3f53065f-4f3b-4a52-b6b3-2cd07e61d304,Admin,modify_settings,v4.0,False,Blocked Access,34ff1e51-8180-46d5-b1a8-88256d969761,10:28:58.802,122259dc331d8ce2c462ada27470841a5256ee0f5e501d517e12fc96581e1019,Medium,type2,
2002e61c-8ab0-4746-9c11-d28d775bdf4d,68154b84-ced1-432a-9bba-6764a2aea084,Admin,access_file,v2.0,True,Blocked Access,4a05c5f6-682d-4533-9cbe-0e6addbe00cc,10:28:58.802,acfab568f3096e916c124e1784a0b1b60f03f6c80b2a4eebd0e49984869aec0c,High,type2,
88b98ed7-3648-47e0-985b-3d16ca075cef,85813141-b0ba-4661-ba0f-0f5ae6ca39f1,Admin,modify_settings,v2.0,False,Allowed,9612487a-295d-4965-9dcd-f52e34fcadb1,10:28:58.802,9f2972652bd58e1ac268bd1de17148f01ea8e559c435117deae19247df865837,High,type2,
a306ca81-f00a-4d53-b027-136bc2b2e58e,5f874c05-33f4-4080-92de-0deb3806570c,Admin,access_file,v4.0,False,Blocked Access,c8623b89-c96a-459e-81b1-8eeaa98055dd,10:28:58.802,aa790fa4a914936f225fb96a0b5008173cbeb3367bed197206c7624b924b9e4d,High,type2,
fead12bd-61b3-4cfe-afbd-a969253e5fb8,a7b6db04-2f28-4c15-ae5d-0a33a4bc4512,Admin,login,v1.0,True,Allowed,189fd0b3-fc2c-4087-874a-a72abaa34939,10:28:58.802,3b62679dae06846634ca8bad215ce03f2a8c6cf48954854bf183d2e9827b2088,Medium,type2,
1dfe69ab-93ea-4d79-9b4b-e6df62a4661e,9febf5e1-0c7c-4402-a17c-3fc174b429fd,Admin,login,v5.0,True,Blocked Access,7e52be51-4d13-4897-ba25-3a4895fbadf8,10:28:58.802,a11e4b79c4aa1a224aa6899c154a6894e690995f6073eab6d2285107bd417ae4,Medium,type2,
bab6db1e-857b-48f3-822d-dc22c8dfd29a,b02defeb-9d75-4b06-975a-737ebd8a2a70,Admin,access_file,v1.0,True,Alerted,a018a43c-ea0c-42c7-9500-8e5260aaa23e,10:28:58.802,3dab40bfce3683bcdf6eeb63044eecadd5cb5fcf9c1dbe773363ad6d3a395f90,Medium,type2,
221279a0-395a-4414-b490-c4efbba10f56,81c09491-2498-4542-b6e1-b222ae5129af,Admin,modify_settings,v4.0,False,Alerted,b1477f73-05a3-4be9-976e-f55642f0f614,10:28:58.802,9ab45c0ee6753b7c5786d333f6d26fb73d5ce1aeecf69e61b7beadb3dec34e61,High,type2,
29ea3b9b-43e8-4649-807d-3bd7e0034d5b,0d2d0705-bdf9-43a8-98ee-eb11359c6d16,Admin,login,v2.0,False,Blocked Access,1169282b-e49f-41bf-b7be-49700a651d7e,10:28:58.802,b9cb82fc3e087e2114f89415331f18b4315ba351f2e8dbfe879478bbb5b2d165,Medium,type2,
199f9b53-1542-45a4-b742-06323982a557,b7916e56-7955-4eff-bece-5dd23d771ee4,Admin,login,v5.0,True,Allowed,b7326a93-4b31-451c-abb8-86eefc3446ae,10:28:58.802,f61a46b79d0cc860ec420e6984e5830d4abd70732fb7bf8e3c4b2a115be7479f,Low,type2,
d4d52d65-127d-4bb1-b5f7-74ddeb35ada6,ac633af1-434f-4907-b0f3-9a5185b160bc,Admin,access_file,v4.0,False,Alerted,ccf869bf-5403-4ad1-bc69-53d75f7d57d7,10:28:58.802,fb27a50effa13eb8a551bddbf653632ff9623c785232139a18cc44841352bcf0,Low,type2,
